,Country,Year,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,GDP per capita current U.S. dollars,Household consumption billion USD,Female labor force participation rate,Male labor force participation rate,Foreign aid and official development assistance received,Rule of law index (-2.5 weak; 2.5 strong),Civil liberties index 7 (weak) - 1 (strong) ,Internet users percent of population,Railroad lines total length in km,Railway passengers,New commercial vehicle sales numbers per year,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Energy use per capita,Alternative and nuclear energy percent of total energy use,Electricity production from renewable sources million kWh,GDP per unit of energy used,Electricity production capacity million kilowatts,Renewable power generation billion kilowatthours,Fossil fuels electricity capacity million kilowatts,Wind electricity capacity million kilowatts,Solar electricity capacity million kilowatts,Hydroelectricity capacity million kilowatts,Nuclear electricity capacity million kilowatts,Geothermal electricity capacity million kilowatts,Forest area percent of total land area,Percent agricultural land,Agricultural land sq. km.,Arable land percent of total land area,Food production index (2004-2006 = 100),Forest area sq. km,ATMs per 100000 adults,Property rights index (0-100),Business freedom index (0-100),Labor freedom index (0-100),Population size in millions,Percent urban population,Rural population percent of total population,Health spending per capita,Death rate per 1000 people,Homicides per 100000 people,Buddhists as percent of the total population,Muslims as percent of the total population,Christians as percent of the total population,Security threats index 0 (low) - 10 (high),Group grievance index 0 (low) - 10 (high),Public services index 0 (high) - 10 (low),Human rights and rule of law index 0 (high) - 10 (low),Human Development Index (0 - 1),Women in parliament percent,Land area in sq. km,"Deaths - Exposure to forces of nature (Per 100,000 Populations)","Death rates from air pollution (per 100,000)_x",consumption_of_all_ozone_depleting_substances_in_odp_metric_tons,co2_per_capita,consumption_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,methane_per_capita,nitrous_oxide_per_capita,longtitude,latitude,HDI Status
0,Brunei,1990,1.09,9.6,13607.52,0.93,46.02,81.89,3.88,,5.0,0.0,,,,,,,,6674.71,0.67,0.0,8.38,0.38,0.0,0.38,,,0.0,0.0,,78.4,2.09,110.0,0.4,18.3,4130.0,,,,,0.26,66.44,33.56,,4.38,,,,,,,,,0.768,,5270.0,0.0,47.63,2.0,23.894000000000002,17.217,17.726,5.942,38.147,0.34700000000000003,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
1,Brunei,1991,3.15,9.9,13905.06,0.99,46.24,81.75,3.62,,5.0,0.0,,,,,,,,7335.27,0.43,0.0,7.9,0.38,0.0,0.38,,,0.0,0.0,,78.1,2.09,110.0,0.4,20.4,4114.0,,,,,0.27,66.58,33.42,,4.28,,,,,,,,,0.773,,5270.0,0.0,46.34,0.0,19.945,15.235,9.27,6.157,37.632,0.33799999999999997,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
2,Brunei,1992,4.76,10.4,15274.44,1.29,47.18,81.36,5.37,,6.0,0.0,,,,,,,,7666.05,0.21,0.0,7.87,0.42,0.0,0.42,,,0.0,0.0,,77.8,2.09,110.0,0.4,27.2,4098.0,,,,,0.27,67.08,32.92,,4.19,,,,,,,,,0.778,,5270.0,0.0,44.73,60.9,19.015,15.927,10.237,4.603,37.044000000000004,0.32799999999999996,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
3,Brunei,1993,0.3,10.4,14575.73,1.58,48.17,81.07,5.07,,6.0,0.0,,,,,,,,7175.62,0.0,0.0,8.4,0.47,0.0,0.47,,,0.0,0.0,,77.5,2.09,110.0,0.4,27.8,4082.0,,,,,0.28,67.6,32.4,,4.1,,,,,,,,,0.7829999999999999,,5270.0,0.0,42.79,83.3,17.605,16.502,9.823,5.691,36.454,0.319,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
4,Brunei,1994,3.15,10.7,14120.86,1.59,49.25,80.86,5.26,,6.0,0.0,,,,,,,,6479.08,0.0,0.0,9.53,0.48,0.0,0.48,,,0.0,0.0,,77.2,2.09,110.0,0.4,29.7,4066.0,,,,,0.29,68.13,31.87,,4.02,,,,,,,,,0.7879999999999999,,5270.0,0.0,41.01,65.7,16.227999999999998,16.877,9.09,4.678,36.055,0.311,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
5,Brunei,1995,4.48,11.2,15933.35,1.73,50.4,80.71,4.29,,5.0,1.02,,,,,,,,7562.77,0.0,0.0,8.49,0.65,0.0,0.65,,,0.0,0.0,,76.9,1.9,100.0,0.4,30.6,4050.0,,,,,0.3,68.64,31.36,,3.94,,,,,,,,,0.7909999999999999,,5270.0,0.0,39.05,67.3,16.112000000000002,16.028,9.21,3.667,35.522,0.303,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
6,Brunei,1996,2.88,11.5,16793.28,1.98,51.34,80.42,3.17,0.82,5.0,3.3,,,,,,,,7425.41,0.0,0.0,8.83,0.71,0.0,0.71,,,0.0,0.0,,76.5,1.9,100.0,0.4,26.9,4034.0,,,,,0.3,69.16,30.84,,3.86,3.0,,,,,,,,0.794,,5270.0,0.0,37.87,81.8,15.545,18.125,9.255,3.9130000000000003,35.77,0.295,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
7,Brunei,1997,-1.47,11.4,16660.36,2.04,52.37,80.22,0.38,,5.0,4.83,,,,,,,,7488.52,0.0,0.0,8.57,0.71,0.0,0.71,,,0.0,0.0,,76.2,1.9,100.0,0.4,34.1,4018.0,,,,,0.31,69.67,30.33,,3.77,2.6,,,,,,,,0.797,,5270.0,0.0,36.27,92.5,15.807,12.11,9.395,4.099,36.154,0.353,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
8,Brunei,1998,-0.56,11.3,12693.79,1.63,53.52,80.09,0.33,0.56,5.0,6.28,,,,,,,,7289.04,0.0,0.0,8.66,0.77,0.0,0.77,,,0.0,0.0,,75.9,1.9,100.0,0.4,39.2,4002.0,,,,,0.32,70.17,29.83,,3.68,1.3,,,,,,,,0.7979999999999999,,5270.0,0.0,35.31,65.0,16.172,16.334,9.556000000000001,4.457,39.812,0.909,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
9,Brunei,1999,3.05,11.6,14101.35,1.59,54.72,80.01,1.43,,5.0,7.67,,,,,,,,7271.03,0.0,0.0,8.88,0.77,0.0,0.77,,,0.0,0.0,,75.6,1.9,100.0,0.4,49.0,3986.0,,,,,0.33,70.67,29.33,,3.59,1.2,,,,,,,,0.804,,5270.0,0.0,34.12,37.7,11.665999999999999,9.51,5.114,4.743,36.288000000000004,0.337,114.7277,4.5353,VERY HIGH HUMAN DEVELOPMENT
